circuit_id,num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
0,4,2,1,linear,amplitude_damping,0.001,Z0,0.015462992,0.014606412
0,4,2,1,linear,amplitude_damping,0.001,Z1,-0.014410006,-0.015575199
0,4,2,1,linear,amplitude_damping,0.001,Z2,0.026975415,0.026195616
0,4,2,1,linear,amplitude_damping,0.001,Z3,-0.278298156,-0.278889225
0,4,2,1,linear,amplitude_damping,0.001,Z0Z1,-0.317080056,-0.317450124
0,4,2,1,linear,amplitude_damping,0.001,Z1Z2,-0.498171141,-0.499867043
0,4,2,1,linear,amplitude_damping,0.001,Z2Z3,-0.087115642,-0.08790385
0,4,2,1,linear,amplitude_damping,0.01,Z0,0.023164225,0.014606412
0,4,2,1,linear,amplitude_damping,0.01,Z1,-0.003926552,-0.015575199
0,4,2,1,linear,amplitude_damping,0.01,Z2,0.033954283,0.026195616
0,4,2,1,linear,amplitude_damping,0.01,Z3,-0.272916576,-0.278889225
0,4,2,1,linear,amplitude_damping,0.01,Z0Z1,-0.31364249,-0.317450124
0,4,2,1,linear,amplitude_damping,0.01,Z1Z2,-0.482966291,-0.499867043
0,4,2,1,linear,amplitude_damping,0.01,Z2Z3,-0.080151199,-0.08790385
0,4,2,1,linear,amplitude_damping,0.1,Z0,0.100195727,0.014606412
0,4,2,1,linear,amplitude_damping,0.1,Z1,0.099806673,-0.015575199
0,4,2,1,linear,amplitude_damping,0.1,Z2,0.100417869,0.026195616
0,4,2,1,linear,amplitude_damping,0.1,Z3,-0.212966157,-0.278889225
0,4,2,1,linear,amplitude_damping,0.1,Z0Z1,-0.268952943,-0.317450124
0,4,2,1,linear,amplitude_damping,0.1,Z1Z2,-0.336994927,-0.499867043
0,4,2,1,linear,amplitude_damping,0.1,Z2Z3,-0.022266964,-0.08790385
0,4,2,1,linear,depolarizing,0.001,Z0,0.014101866,0.014606412
0,4,2,1,linear,depolarizing,0.001,Z1,-0.01505224,-0.015575199
0,4,2,1,linear,depolarizing,0.001,Z2,0.025597377,0.026195616
0,4,2,1,linear,depolarizing,0.001,Z3,-0.275548408,-0.278889225
0,4,2,1,linear,depolarizing,0.001,Z0Z1,-0.313369393,-0.317450124
0,4,2,1,linear,depolarizing,0.001,Z1Z2,-0.487108965,-0.499867043
0,4,2,1,linear,depolarizing,0.001,Z2Z3,-0.085896358,-0.08790385
0,4,2,1,linear,depolarizing,0.01,Z0,0.010126213,0.014606412
0,4,2,1,linear,depolarizing,0.01,Z1,-0.010906914,-0.015575199
0,4,2,1,linear,depolarizing,0.01,Z2,0.02058824,0.026195616
0,4,2,1,linear,depolarizing,0.01,Z3,-0.246005396,-0.278889225
0,4,2,1,linear,depolarizing,0.01,Z0Z1,-0.277515061,-0.317450124
0,4,2,1,linear,depolarizing,0.01,Z1Z2,-0.382238723,-0.499867043
0,4,2,1,linear,depolarizing,0.01,Z2Z3,-0.069087345,-0.08790385
0,4,2,1,linear,depolarizing,0.1,Z0,0.002958354,0.014606412
0,4,2,1,linear,depolarizing,0.1,Z1,-0.003505079,-0.015575199
0,4,2,1,linear,depolarizing,0.1,Z2,0.009357336,0.026195616
0,4,2,1,linear,depolarizing,0.1,Z3,-0.15813019,-0.278889225
0,4,2,1,linear,depolarizing,0.1,Z0Z1,-0.162513638,-0.317450124
0,4,2,1,linear,depolarizing,0.1,Z1Z2,-0.160819014,-0.499867043
0,4,2,1,linear,depolarizing,0.1,Z2Z3,-0.031400134,-0.08790385
0,4,2,1,linear,readout,0.001,Z0,0.014606412,0.014606412
0,4,2,1,linear,readout,0.001,Z1,-0.015575199,-0.015575199
0,4,2,1,linear,readout,0.001,Z2,0.026195616,0.026195616
0,4,2,1,linear,readout,0.001,Z3,-0.278889225,-0.278889225
0,4,2,1,linear,readout,0.001,Z0Z1,-0.317450124,-0.317450124
0,4,2,1,linear,readout,0.001,Z1Z2,-0.499867043,-0.499867043
0,4,2,1,linear,readout,0.001,Z2Z3,-0.08790385,-0.08790385
0,4,2,1,linear,readout,0.01,Z0,0.014606412,0.014606412
0,4,2,1,linear,readout,0.01,Z1,-0.015575199,-0.015575199
0,4,2,1,linear,readout,0.01,Z2,0.026195616,0.026195616
0,4,2,1,linear,readout,0.01,Z3,-0.278889225,-0.278889225
0,4,2,1,linear,readout,0.01,Z0Z1,-0.317450124,-0.317450124
0,4,2,1,linear,readout,0.01,Z1Z2,-0.499867043,-0.499867043
0,4,2,1,linear,readout,0.01,Z2Z3,-0.08790385,-0.08790385
0,4,2,1,linear,readout,0.1,Z0,0.014606412,0.014606412
0,4,2,1,linear,readout,0.1,Z1,-0.015575199,-0.015575199
0,4,2,1,linear,readout,0.1,Z2,0.026195616,0.026195616
0,4,2,1,linear,readout,0.1,Z3,-0.278889225,-0.278889225
0,4,2,1,linear,readout,0.1,Z0Z1,-0.317450124,-0.317450124
0,4,2,1,linear,readout,0.1,Z1Z2,-0.499867043,-0.499867043
0,4,2,1,linear,readout,0.1,Z2Z3,-0.08790385,-0.08790385
1,4,2,1,linear,amplitude_damping,0.001,Z0,-0.070878442,-0.072433247
1,4,2,1,linear,amplitude_damping,0.001,Z1,-0.270983615,-0.272492491
1,4,2,1,linear,amplitude_damping,0.001,Z2,-0.29276091,-0.293618347
1,4,2,1,linear,amplitude_damping,0.001,Z3,0.966201363,0.966144155
1,4,2,1,linear,amplitude_damping,0.001,Z0Z1,0.597298053,0.600065701
1,4,2,1,linear,amplitude_damping,0.001,Z1Z2,0.15979752,0.161575521
1,4,2,1,linear,amplitude_damping,0.001,Z2Z3,-0.312768174,-0.313627021
1,4,2,1,linear,amplitude_damping,0.01,Z0,-0.056903636,-0.072433247
1,4,2,1,linear,amplitude_damping,0.01,Z1,-0.257342769,-0.272492491
1,4,2,1,linear,amplitude_damping,0.01,Z2,-0.285007609,-0.293618347
1,4,2,1,linear,amplitude_damping,0.01,Z3,0.96671413,0.966144155
1,4,2,1,linear,amplitude_damping,0.01,Z0Z1,0.572857642,0.600065701
1,4,2,1,linear,amplitude_damping,0.01,Z1Z2,0.14409368,0.161575521
1,4,2,1,linear,amplitude_damping,0.01,Z2Z3,-0.304995099,-0.313627021
1,4,2,1,linear,amplitude_damping,0.1,Z0,0.079767665,-0.072433247
1,4,2,1,linear,amplitude_damping,0.1,Z1,-0.115663972,-0.272492491
1,4,2,1,linear,amplitude_damping,0.1,Z2,-0.203844722,-0.293618347
1,4,2,1,linear,amplitude_damping,0.1,Z3,0.971633526,0.966144155
1,4,2,1,linear,amplitude_damping,0.1,Z0Z1,0.373755719,0.600065701
1,4,2,1,linear,amplitude_damping,0.1,Z1Z2,0.016669234,0.161575521
1,4,2,1,linear,amplitude_damping,0.1,Z2Z3,-0.223013721,-0.313627021
1,4,2,1,linear,depolarizing,0.001,Z0,-0.067328955,-0.072433247
1,4,2,1,linear,depolarizing,0.001,Z1,-0.26334318,-0.272492491
1,4,2,1,linear,depolarizing,0.001,Z2,-0.286912879,-0.293618347
1,4,2,1,linear,depolarizing,0.001,Z3,0.954521835,0.966144155
1,4,2,1,linear,depolarizing,0.001,Z0Z1,0.592993013,0.600065701
1,4,2,1,linear,depolarizing,0.001,Z1Z2,0.161953109,0.161575521
1,4,2,1,linear,depolarizing,0.001,Z2Z3,-0.306464608,-0.313627021
1,4,2,1,linear,depolarizing,0.01,Z0,-0.028439824,-0.072433247
1,4,2,1,linear,depolarizing,0.01,Z1,-0.19081954,-0.272492491
1,4,2,1,linear,depolarizing,0.01,Z2,-0.230767047,-0.293618347
1,4,2,1,linear,depolarizing,0.01,Z3,0.851789793,0.966144155
1,4,2,1,linear,depolarizing,0.01,Z0Z1,0.52989332,0.600065701
1,4,2,1,linear,depolarizing,0.01,Z1Z2,0.159436807,0.161575521
1,4,2,1,linear,depolarizing,0.01,Z2Z3,-0.246492708,-0.313627021
1,4,2,1,linear,depolarizing,0.1,Z0,0.027362308,-0.072433247
1,4,2,1,linear,depolarizing,0.1,Z1,-0.061322337,-0.272492491
1,4,2,1,linear,depolarizing,0.1,Z2,-0.10488341,-0.293618347
1,4,2,1,linear,depolarizing,0.1,Z3,0.544999205,0.966144155
1,4,2,1,linear,depolarizing,0.1,Z0Z1,0.316521787,0.600065701
1,4,2,1,linear,depolarizing,0.1,Z1Z2,0.107776678,0.161575521
1,4,2,1,linear,depolarizing,0.1,Z2Z3,-0.112030708,-0.313627021
1,4,2,1,linear,readout,0.001,Z0,-0.072433247,-0.072433247
1,4,2,1,linear,readout,0.001,Z1,-0.272492491,-0.272492491
1,4,2,1,linear,readout,0.001,Z2,-0.293618347,-0.293618347
1,4,2,1,linear,readout,0.001,Z3,0.966144155,0.966144155
1,4,2,1,linear,readout,0.001,Z0Z1,0.600065701,0.600065701
1,4,2,1,linear,readout,0.001,Z1Z2,0.161575521,0.161575521
1,4,2,1,linear,readout,0.001,Z2Z3,-0.313627021,-0.313627021
1,4,2,1,linear,readout,0.01,Z0,-0.072433247,-0.072433247
1,4,2,1,linear,readout,0.01,Z1,-0.272492491,-0.272492491
1,4,2,1,linear,readout,0.01,Z2,-0.293618347,-0.293618347
1,4,2,1,linear,readout,0.01,Z3,0.966144155,0.966144155
1,4,2,1,linear,readout,0.01,Z0Z1,0.600065701,0.600065701
1,4,2,1,linear,readout,0.01,Z1Z2,0.161575521,0.161575521
1,4,2,1,linear,readout,0.01,Z2Z3,-0.313627021,-0.313627021
1,4,2,1,linear,readout,0.1,Z0,-0.072433247,-0.072433247
1,4,2,1,linear,readout,0.1,Z1,-0.272492491,-0.272492491
1,4,2,1,linear,readout,0.1,Z2,-0.293618347,-0.293618347
1,4,2,1,linear,readout,0.1,Z3,0.966144155,0.966144155
1,4,2,1,linear,readout,0.1,Z0Z1,0.600065701,0.600065701
1,4,2,1,linear,readout,0.1,Z1Z2,0.161575521,0.161575521
1,4,2,1,linear,readout,0.1,Z2Z3,-0.313627021,-0.313627021
2,4,2,1,linear,amplitude_damping,0.001,Z0,0.090619424,0.089489588
2,4,2,1,linear,amplitude_damping,0.001,Z1,0.244822517,0.243480029
2,4,2,1,linear,amplitude_damping,0.001,Z2,0.241681512,0.240344776
2,4,2,1,linear,amplitude_damping,0.001,Z3,-0.355861766,-0.357152107
2,4,2,1,linear,amplitude_damping,0.001,Z0Z1,0.32188084,0.322174861
2,4,2,1,linear,amplitude_damping,0.001,Z1Z2,0.888830641,0.890156874
2,4,2,1,linear,amplitude_damping,0.001,Z2Z3,-0.121137931,-0.120997056
2,4,2,1,linear,amplitude_damping,0.01,Z0,0.100772459,0.089489588
2,4,2,1,linear,amplitude_damping,0.01,Z1,0.256861414,0.243480029
2,4,2,1,linear,amplitude_damping,0.01,Z2,0.253669031,0.240344776
